B_NAME	GB	PA	AB	RBI	R	H	AVG
林智勝	3	13	9	6	3	6	0.667
郭健瑜	2	9	8	0	0	5	0.625
陳鏞基	3	15	14	5	5	7	0.5
張志豪	2	10	10	4	3	5	0.5
郭俊佑	3	12	11	1	2	5	0.455
林志祥	3	15	11	2	1	5	0.455
高志綱	3	12	9	2	1	4	0.444
林琨笙	2	7	5	1	3	2	0.4
林泓育	3	13	10	2	3	4	0.4
余德龍	3	12	11	2	3	4	0.364
王勝偉	2	11	11	0	4	4	0.364
陳江和	2	10	9	1	0	3	0.333
鄭兆行	2	8	6	1	0	2	0.333
陳金鋒	3	13	12	4	2	4	0.333
蘇建榮	2	10	6	0	2	2	0.333
郭嚴文	3	14	12	3	3	4	0.333
詹智堯	3	13	13	2	2	4	0.308
高國慶	3	14	13	1	3	4	0.308
黃仕豪	2	10	10	4	1	3	0.3
張建銘	2	11	11	3	1	3	0.273
